gene_id	mean_beta	n_cpgs	expression
LOC_00005879	0.00279353671345813	294	8.46905589575114
LOC_00005880	0.887040622975057	375	7.45346195367153
LOC_00005881	0.891981564963602	617	7.50998665935686
LOC_00005882	0.795715061246317	82	8.09160637883891
LOC_00005883	0.713110890426233	305	8.1956702280826
LOC_00005884	0.922413780135718	348	5.39442739765808
LOC_00005885	0.0025922337498254	529	1.07614286665468
LOC_00005886	0.255687988620001	2556	6.8592100007371
LOC_00005887	0.00376987464799824	2450	5.83232302759364
LOC_00005890	0.536374328788959	1019	11.1629608846875
LOC_00005891	0.00342969662842427	1169	2.71523327888977
LOC_00005892	0.00360792629536289	271	0.932623939810295
LOC_00005893	0.795366315325725	313	4.38377749923161
LOC_00005894	0.748352379880595	91	5.72670953168957
LOC_00005895	0.881097576350725	247	8.06949703505353
LOC_00005896	0.605516361029208	912	15.1022113715364
LOC_00005897	0.730791938830624	451	6.29964756397317
LOC_00005898	0.616831819867982	155	7.84820264731331
LOC_00005899	0.861363730049575	152	4.98175130536217
LOC_00005900	0.506655239454861	2430	10.0035661429837
LOC_00005901	0.00277516469625182	415	4.73030598146594
LOC_00005902	0.0218107113907247	595	8.0111729212008
LOC_00005903	0.893202807500053	447	8.55635100581572
LOC_00005904	0.00300479248564192	2835	4.08704273309985
LOC_00005905	0.806110268443202	127	4.46275387855401
LOC_00005906	0.461928752672335	382	5.5671903369988
LOC_00005907	0.0266590044727575	1735	3.82132636483114
LOC_00005908	0.839040216986141	401	9.15132788889598
LOC_00005909	0.70938863537465	305	4.66905015965855
LOC_00005911	0.0563614872421739	4693	5.63503878895883
LOC_00005910	0	7	2.64397994044715
LOC_00005912	0.822629564532096	145	5.91826879811004
LOC_00005913	0.845180880547875	103	5.23166561491312
LOC_00005914	0.871085454049083	274	7.38333711238512
LOC_00005915	0.215398744372664	2973	5.97050149924102
LOC_00005916	0	8	3.22722870263518
LOC_00005917	0.0679849062149028	3788	8.97499778155855
LOC_00005918	0.125530511964913	639	1.23632753778729
LOC_00005919	0.78424586468948	297	8.48317862965856
LOC_00005920	0.856332336012806	374	5.68466786014624
LOC_00005921	0.00360128302370982	466	1.29165764404875
LOC_00005923	0.00292922123828619	2470	5.27912128723491
LOC_00005924	0.772737987264727	205	6.94709119788079
LOC_00005926	0.00279269237146858	1116	7.55658730276992
XLOC_012574U_lncRNA	0.0027639340007755	2476	2.96830040276468
LOC_00005927	0.00428478571382887	1761	6.64826215919274
LOC_00005928	0.917260893173097	624	8.45284550329139
LOC_00005929	0.899738794222878	562	8.32599408821832
LOC_00005930	0.284220000614715	1139	8.94030760952941
LOC_00005931	0.455239025893444	173	7.5787895823359
LOC_00005932	0.0776731739609925	499	5.22056541383329
LOC_00005933	0.860555413098777	155	9.75409734218038
LOC_00005934	0.878115089418856	191	7.10800882796836
LOC_00005935	0.826870857238366	436	8.53660712734142
LOC_00005936	0.033331464256738	5758	8.1229686498339
LOC_00005938	0.00250980392156863	25	2.86280827649736
LOC_00005940	0.00531106422598911	141	3.25554502227907
LOC_00005941	0.00275421658749699	179	4.07725832727033
LOC_00005942	0.00367922070115759	351	7.35561632032801
LOC_00005943	0.00255916798985387	318	0.932623939810295
LOC_00005944	0.0714881253278829	452	6.9523824976544
LOC_00005945	0.906901885553522	555	8.37407635087598
LOC_00005946	0.00244201087530125	188	1.23502245131903
LOC_00005947	0.00289393413758128	1644	5.0964184661923
LOC_00005948	0.616777128217139	209	7.05474405250178
LOC_00005949	0.882203633487898	45	3.78810007936124
LOC_00005950	0.325785885515966	324	3.71356853447411
LOC_00005951	0.00358407364893385	968	7.76076384443674
LOC_00005953	0.124351811909197	825	2.95383284901076
LOC_00005954	0.825299166054764	169	3.57243386797167
LOC_00005955	0.810815387906753	254	3.2633233065842
LOC_00005956	0.866931387618416	559	7.57363918761097
LOC_00005957	0.902952809267981	481	10.5442539599439
LOC_00005958	0.862968732289768	131	5.64024556697164
LOC_00005959	0.830469239236128	64	5.05641710900093
LOC_00005960	0.743413163874028	231	6.85672883149422
LOC_00005961	0.0031247562889318	183	2.19946602169422
XLOC_012596U_lncRNA	0.00227888622684356	85	7.52426651139893
LOC_00005962	0.0051285879827571	192	1.76365787148033
LOC_00005963	0.690413702451208	215	6.68117401832651
LOC_00005964	0.831771740323505	239	8.20400169036052
XLOC_012598U_lncRNA	0.00314963434653201	401	4.01232651142614
LOC_00005965	0.767439638073869	1189	10.1673024512753
LOC_00005966	0.836879524186263	1037	11.3400167270317
LOC_00005967	0.65973731656192	92	3.49188717757707
LOC_00005968	0.0487059928179559	1441	13.0370684653244
LOC_00005969	0.00349815713165152	2654	3.77365441739507
LOC_00005970	0.00307912869784072	180	5.76938028271451
LOC_00005971	0.197815728381881	1213	12.0949279061457
LOC_00005972	0.00281156644177717	6545	4.69668928978305
LOC_00005973	0.068169083465227	3559	9.19957457437694
LOC_00005975	0.905152978405829	454	10.4859465999962
LOC_00005976	0.0592449397322908	1453	8.97835569051613
LOC_00005977	0.605892921227232	571	7.01991941608035
LOC_00005978	0.715084157956582	28	7.24430710599372
LOC_00005979	0.0047822780698858	462	8.37287651852909
LOC_00005980	0.873451375192028	267	4.55128898421502
LOC_00005981	0.798368366721278	231	7.72024004253315
LOC_00005982	0.908302256808057	506	6.32678733002261
LOC_00005983	0.0233463779010729	1358	4.53892305798257
LOC_00005984	0.429669265882345	2320	13.6916915453306
LOC_00005985	0.00242943859433903	506	1.8723482581678
LOC_00005986	0.490449100633592	1218	9.12140282889092
LOC_00005987	0.587200855725395	193	8.68286500669038
LOC_00005988	0.85521954575934	274	7.14432141557839
LOC_00005989	0.459283067467592	1086	7.15404682093888
