gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta_entropy	mean_ctrl_beta	mean_ampu_beta	p_wilcox	expression	padj	entropy_class
LOC_00006650	610	0.0176805112466499	0.0184957380518052	0.00081522680515533	0.00270534283380729	0.00287263455239042	0.647931607516614	4.82813514803779	0.922047579787917	NS
LOC_00006652	84	0.243034250336063	0.22460683877132	-0.0184274115647437	0.828442194266635	0.82935439197848	0.553905277328252	7.69235777496906	0.883307801135053	NS
LOC_00006653	264	0.50301410191873	0.492845212468668	-0.0101688894500621	0.816551207467839	0.823266897088004	0.588013950141238	0.932623939810295	0.899492564290047	NS
LOC_00006654	1107	0.0172085822698305	0.018705684524275	0.00149710225444447	0.00261065950709317	0.0028435533327974	0.669042343258416	1.22863885277359	0.929524932393677	NS
LOC_00006655	1364	0.016454239310325	0.0169952004736202	0.000540961163295151	0.00266174138113658	0.00269611299097248	0.859748434069736	3.20223329413623	0.978963068233475	NS
LOC_00006656	493	0.0280462771705884	0.025769593280655	-0.00227668388993344	0.00494373172639457	0.00397413545279048	0.970329056854456	3.2429278091007	1	NS
LOC_00006657	145	0.440537699762323	0.427543286187218	-0.0129944135751041	0.886779529067091	0.887427856376404	0.700321204014891	8.43137627048447	0.93974271261845	NS
LOC_00006658	216	0.379504517921317	0.36469938488798	-0.014805133033336	0.81513009910521	0.817526083893266	0.425750264897523	4.77926218177879	0.823664302558836	NS
LOC_00006659	245	0.461188098885915	0.459565230246691	-0.00162286863922449	0.815805871146859	0.823833148816091	0.818784668227144	11.6970470451047	0.972551776716781	NS
LOC_00006660	169	0.487998733091915	0.510023725853424	0.0220249927615093	0.694023713777737	0.69327092675663	0.0974664398013503	4.64029615872048	0.535015068662823	NS
LOC_00006661	228	0.41700541776708	0.396587665646837	-0.0204177521202435	0.809352132703371	0.816166187264138	0.126791809396489	5.28642104610199	0.576285141353144	NS
